question,answer
What is Git?,Git is a distributed version control system that allows multiple developers to work on a project simultaneously.
How do you initialize a new Git repository?,Use the command 'git init' to create a new Git repository.
How do you clone an existing Git repository?,Use the command 'git clone <repository_url>' to create a local copy of a repository.
How do you check the status of your repository?,Use the command 'git status' to see the current state of your working directory and staging area.
How do you add files to the staging area?,"Use the command 'git add <file>' to add a specific file to the staging area, or 'git add .' to add all changes."
How do you commit changes to the repository?,"Use the command 'git commit -m ""commit message""' to commit your changes with a descriptive message."
How do you view the commit history?,Use the command 'git log' to display the commit history for the current branch.
How do you create a new branch?,Use the command 'git branch <branch_name>' to create a new branch.
How do you switch to a different branch?,Use the command 'git checkout <branch_name>' to switch to a different branch.
How do you merge branches?,Use the command 'git merge <branch_name>' to merge changes from the specified branch into the current branch.
How do you resolve merge conflicts?,"Resolve conflicts by editing the files to reconcile the differences, then use 'git add <file>' and 'git commit' to complete the merge."
How do you delete a branch?,"Use the command 'git branch -d <branch_name>' to delete a branch locally, or 'git push origin --delete <branch_name>' to delete it remotely."
How do you view changes between commits?,"Use the command 'git diff' to see changes between your working directory and the index, or 'git diff <commit1> <commit2>' to compare specific commits."
How do you undo a commit?,"Use 'git reset --soft HEAD~1' to undo the last commit but keep the changes in the working directory, or 'git reset --hard HEAD~1' to discard the changes completely."
How do you push changes to a remote repository?,Use the command 'git push origin <branch_name>' to push your changes to the specified branch on the remote repository.
How do you pull changes from a remote repository?,Use the command 'git pull' to fetch and merge changes from the remote repository into your current branch.
How do you set up a remote repository?,Use the command 'git remote add origin <repository_url>' to link your local repository to a remote repository.
How do you fetch updates from a remote repository?,Use the command 'git fetch' to download changes from the remote repository without merging them into your working branch.
How do you discard uncommitted changes?,"Use the command 'git checkout -- <file>' to discard changes in the working directory, or 'git reset --hard' to discard all changes."
